Task_ID,Department,Task_Type,Priority,Deadline_Days,Estimated_Hours,Resource_Available
775,Finance,Campaign,2,1,5,1
776,Marketing,Support,1,24,10,0
777,Marketing,Development,2,29,15,0
778,HR,Campaign,5,26,14,1
779,HR,Hiring,3,10,4,1
780,Tech,Hiring,3,2,20,1
781,Marketing,Hiring,1,17,2,1
782,Tech,Hiring,3,30,12,1
783,HR,Payment,1,24,1,1
784,HR,Support,1,7,20,1
785,Finance,Support,2,7,5,1
786,Marketing,Payment,3,20,6,1
787,Tech,Development,1,27,11,0
788,HR,Development,2,9,8,1
789,HR,Hiring,4,22,7,1
790,Tech,Campaign,2,2,4,0
791,Finance,Development,2,14,6,0
792,HR,Campaign,1,17,16,0
793,Marketing,Support,5,1,20,1
794,HR,Campaign,5,9,15,1
795,Marketing,Support,5,20,14,1
796,Tech,Payment,2,21,12,1
797,Marketing,Payment,1,19,12,0
798,Tech,Hiring,3,4,16,1
799,Marketing,Development,2,28,15,1
800,Tech,Hiring,2,8,13,0
801,Marketing,Support,1,13,11,1
802,Finance,Hiring,4,4,17,1
803,Marketing,Campaign,2,9,15,1
804,Marketing,Support,4,9,14,1
805,Finance,Payment,4,22,10,0
806,HR,Development,5,18,12,0
807,HR,Support,1,12,16,0
808,Marketing,Support,4,10,15,0
809,Finance,Campaign,1,11,10,1
810,Marketing,Development,5,7,4,1
811,Tech,Payment,1,9,9,1
812,Tech,Support,2,6,20,0
813,Marketing,Support,4,19,9,0
814,HR,Campaign,1,16,20,0
815,HR,Hiring,3,30,11,1
816,Marketing,Payment,1,15,11,1
817,Marketing,Development,4,7,7,0
818,Tech,Support,5,16,10,0
819,HR,Support,5,5,4,1
820,Marketing,Payment,4,16,5,1
821,Tech,Hiring,2,1,5,1
822,HR,Support,2,19,11,0
823,Finance,Payment,5,5,9,0
824,Tech,Campaign,5,7,16,0
825,HR,Hiring,4,19,9,0
826,HR,Development,2,22,4,1
827,Tech,Support,5,5,2,1
828,Finance,Payment,2,29,14,1
829,Tech,Campaign,5,17,3,0
830,HR,Development,1,26,18,1
831,Marketing,Payment,3,22,6,1
832,Marketing,Payment,1,30,11,1
833,Tech,Development,5,8,18,1
834,HR,Campaign,3,29,12,1
835,Marketing,Campaign,3,29,5,0
836,HR,Hiring,5,1,9,1
837,Tech,Support,5,2,20,1
838,Marketing,Development,2,30,18,0
839,HR,Development,5,15,19,0
840,Marketing,Development,4,20,3,1
841,Tech,Campaign,5,28,9,1
842,HR,Support,4,18,4,1
843,Marketing,Hiring,5,11,17,1
844,Tech,Payment,2,25,17,0
845,Marketing,Payment,4,10,2,1
846,Marketing,Development,1,24,9,0
847,Finance,Support,4,24,9,1
848,Finance,Campaign,2,4,5,1
849,Tech,Support,4,5,15,1
850,Finance,Support,5,4,15,0
851,Tech,Campaign,5,13,3,1
852,Finance,Development,2,25,19,1
853,Marketing,Support,3,13,3,0
854,Tech,Payment,5,18,6,1
855,Tech,Campaign,1,29,4,0
856,Marketing,Hiring,2,27,13,1
857,Tech,Development,4,24,13,0
858,Tech,Campaign,4,2,11,0
859,Finance,Hiring,1,16,5,0
860,Tech,Hiring,5,1,1,1
861,HR,Support,2,26,9,0
862,Marketing,Support,1,19,17,0
863,Finance,Support,5,9,1,1
864,Finance,Campaign,2,28,3,0
865,HR,Campaign,4,3,15,1
866,Marketing,Development,2,25,10,1
867,Marketing,Support,3,7,8,0
868,Finance,Hiring,2,29,12,0
869,Tech,Payment,3,10,15,1
870,Finance,Development,2,1,9,0
871,Marketing,Campaign,3,10,10,0
872,HR,Development,4,21,20,0
873,Finance,Development,5,9,9,0
874,Marketing,Development,3,28,15,1
875,Finance,Development,3,15,1,1
876,Tech,Payment,4,15,2,0
877,Finance,Support,3,3,19,1
878,Finance,Hiring,1,25,14,0
879,Marketing,Development,4,5,8,0
880,Marketing,Development,1,9,6,0
881,Marketing,Development,4,26,12,0
882,Finance,Support,3,22,15,1
883,Tech,Campaign,1,9,14,0
884,HR,Campaign,3,23,1,1
885,HR,Payment,4,7,11,0
886,Marketing,Campaign,3,24,3,1
887,Marketing,Development,1,23,19,1
888,Finance,Development,1,12,18,1
889,HR,Development,3,25,20,1
890,Marketing,Payment,2,27,2,0
891,Tech,Development,4,9,7,1
892,Tech,Campaign,4,6,8,0
893,Marketing,Support,3,23,19,1
894,Marketing,Support,2,2,15,1
895,HR,Hiring,1,9,10,1
896,HR,Campaign,5,28,1,0
897,Finance,Development,5,29,6,1
898,HR,Support,3,17,13,0
899,Tech,Campaign,2,1,14,0
900,Tech,Support,2,19,3,0
901,Marketing,Development,4,28,11,1
902,HR,Support,1,6,3,1
903,Finance,Hiring,2,5,19,1
904,Tech,Hiring,5,2,10,1
905,Tech,Support,1,9,15,1
906,Finance,Campaign,1,30,11,1
907,Finance,Campaign,3,29,15,1
908,Tech,Campaign,2,26,13,0
909,Tech,Support,3,14,5,1
910,Finance,Campaign,2,4,4,0
911,Tech,Development,4,4,13,0
912,Marketing,Hiring,3,21,9,1
913,Marketing,Development,3,15,17,1
914,Finance,Campaign,5,8,2,0
915,HR,Development,3,26,5,0
916,Finance,Campaign,2,4,16,1
917,Finance,Support,5,16,7,0
918,HR,Development,3,21,1,0
919,HR,Support,3,28,12,0
920,HR,Support,4,4,11,0
921,Marketing,Payment,3,30,12,1
922,Tech,Campaign,1,16,19,1
923,Marketing,Hiring,5,22,12,0
924,Tech,Campaign,1,12,12,0
925,Marketing,Hiring,5,16,14,0
926,Tech,Campaign,4,19,2,1
927,Marketing,Support,3,8,2,1
928,HR,Development,3,6,4,0
929,Finance,Development,3,10,20,0
930,Marketing,Payment,5,5,16,0
931,Tech,Hiring,3,29,10,1
932,HR,Hiring,1,18,13,0
933,Marketing,Hiring,3,10,2,0
934,Marketing,Support,4,10,3,0
935,HR,Hiring,1,7,19,0
936,Marketing,Development,3,18,6,0
937,Finance,Support,3,1,19,1
938,Marketing,Campaign,2,7,20,1
939,Finance,Hiring,5,21,19,1
940,Finance,Hiring,1,1,8,0
941,HR,Campaign,2,15,14,1
942,Marketing,Hiring,4,4,10,0
943,HR,Campaign,5,28,3,1
944,Marketing,Support,1,29,6,1
945,Marketing,Development,3,20,15,0
946,Tech,Campaign,1,10,18,0
947,Marketing,Payment,3,23,14,0
948,HR,Campaign,5,9,19,1
949,Finance,Hiring,3,2,10,0
950,Marketing,Support,4,28,15,1
951,Tech,Support,3,14,4,1
952,HR,Campaign,4,16,2,1
953,Marketing,Development,5,1,3,0
954,HR,Payment,5,2,7,0
955,Tech,Support,1,7,16,0
956,Tech,Hiring,4,29,10,1
957,HR,Hiring,4,10,19,1
958,Marketing,Development,2,22,17,0
959,Finance,Support,2,20,19,1
960,Tech,Campaign,2,1,5,1
961,Marketing,Hiring,3,13,20,1
962,Marketing,Development,2,1,13,0
963,Finance,Support,4,5,13,1
964,Tech,Support,3,16,11,1
965,Tech,Support,5,15,11,0
966,Marketing,Support,1,17,16,0
967,Marketing,Support,2,28,15,0
968,Finance,Hiring,5,23,17,0
969,Finance,Development,4,16,18,0
970,Tech,Support,1,13,19,0
971,HR,Payment,5,11,4,1
972,Tech,Payment,1,17,5,1
973,Marketing,Development,2,17,7,1
974,Tech,Campaign,4,2,2,1
975,HR,Campaign,1,13,1,0
976,Finance,Campaign,5,14,12,1
977,HR,Payment,2,11,10,0
978,HR,Campaign,2,28,8,0
979,HR,Hiring,5,10,1,1
980,Finance,Support,5,3,12,1
981,HR,Payment,1,29,2,0
982,HR,Development,3,27,10,0
983,HR,Development,2,17,17,0
984,Marketing,Support,1,15,3,0
985,HR,Payment,5,9,7,1
986,Finance,Campaign,1,10,12,0
987,HR,Campaign,5,8,8,1
988,HR,Hiring,4,21,20,0
989,Finance,Hiring,5,13,12,0
990,HR,Campaign,5,27,3,0
991,Finance,Development,5,18,17,1
992,HR,Development,3,5,9,0
993,Finance,Hiring,5,6,10,1
994,HR,Support,2,30,6,1
995,HR,Campaign,2,17,1,1
996,Marketing,Hiring,1,11,12,0
997,Marketing,Hiring,3,20,5,1
998,HR,Campaign,1,16,13,1
999,HR,Campaign,2,9,15,0
1000,Tech,Development,2,2,11,0
1001,Finance,Support,4,5,8,1
1002,Tech,Support,5,1,5,1
1003,Marketing,Campaign,2,4,2,0
1004,Marketing,Payment,1,4,12,1
1005,Marketing,Hiring,1,22,2,1
1006,Marketing,Hiring,5,26,16,1
1007,HR,Campaign,5,25,3,0
1008,Marketing,Payment,4,3,10,1
1009,HR,Development,3,9,19,0
1010,HR,Campaign,1,22,8,0
1011,Marketing,Campaign,5,23,7,0
1012,Marketing,Hiring,1,12,1,1
1013,Finance,Campaign,5,10,12,0
1014,Tech,Campaign,2,2,5,1
1015,Marketing,Campaign,1,11,16,0
1016,Finance,Hiring,2,10,4,1
1017,Finance,Development,1,30,17,1
1018,Tech,Development,3,22,2,1
1019,HR,Campaign,4,6,12,0
1020,Marketing,Hiring,2,18,1,1
1021,Tech,Development,5,2,12,1
1022,Marketing,Development,3,30,12,0
1023,Finance,Development,1,2,12,0
1024,Finance,Hiring,2,10,19,1
1025,HR,Hiring,1,16,17,0
1026,Finance,Campaign,1,12,20,0
1027,Finance,Support,1,1,11,0
1028,Tech,Development,4,21,13,1
1029,Marketing,Support,4,8,8,0
1030,Marketing,Hiring,5,16,10,1
1031,Tech,Hiring,2,18,8,0
1032,HR,Hiring,3,13,20,0
1033,Marketing,Support,3,15,8,1
1034,Finance,Hiring,3,21,9,0
1035,Marketing,Campaign,1,12,7,0
1036,Finance,Hiring,4,8,14,0
1037,HR,Payment,2,10,2,0
1038,Tech,Support,1,14,11,1
1039,Marketing,Payment,4,5,8,1
1040,Tech,Hiring,4,18,13,1
1041,Marketing,Campaign,2,19,15,1
1042,Finance,Development,2,15,3,1
1043,Tech,Hiring,2,6,14,1
1044,Marketing,Campaign,1,27,15,1
1045,Finance,Support,5,11,2,0
1046,Tech,Payment,2,21,19,1
1047,Tech,Payment,5,11,12,1
1048,Marketing,Payment,1,20,20,1
1049,Marketing,Support,5,20,4,0
1050,Marketing,Campaign,3,21,3,1
1051,Finance,Support,5,18,5,1
1052,Marketing,Payment,2,25,3,1
1053,Tech,Hiring,1,18,15,0
1054,Tech,Development,2,10,19,1
1055,Marketing,Support,3,2,2,0
1056,Marketing,Support,2,26,12,0
1057,HR,Campaign,2,30,5,0
1058,Tech,Campaign,2,9,17,0
1059,Finance,Support,4,14,14,1
1060,HR,Payment,3,19,10,0
1061,Marketing,Development,2,10,3,0
1062,Marketing,Campaign,2,23,4,1
1063,Tech,Payment,2,4,6,0
1064,Marketing,Hiring,1,29,16,0
1065,Finance,Campaign,4,29,7,0
1066,Tech,Payment,1,6,15,0
1067,Marketing,Payment,4,14,20,0
1068,Tech,Development,2,4,11,0
1069,Marketing,Development,3,26,1,1
1070,Marketing,Hiring,5,15,5,1
1071,Marketing,Payment,5,16,13,1
1072,Finance,Payment,2,7,14,1
1073,Finance,Development,1,17,9,0
1074,Tech,Campaign,3,19,17,0
1075,Marketing,Campaign,4,29,15,0
1076,Marketing,Support,2,19,7,1
1077,Finance,Development,3,17,12,1
1078,Marketing,Support,3,6,6,0
1079,Finance,Development,4,29,16,0
1080,Marketing,Hiring,3,11,5,1
1081,Tech,Payment,1,16,9,1
1082,Marketing,Hiring,1,30,14,1
1083,Marketing,Development,1,25,8,1
1084,HR,Payment,3,8,14,0
1085,Finance,Campaign,1,11,12,1
1086,Marketing,Campaign,4,7,10,1
1087,Marketing,Support,3,26,20,0
1088,HR,Development,5,24,20,0
1089,HR,Development,3,22,13,0
1090,Finance,Campaign,4,25,19,1
1091,HR,Hiring,5,19,15,1
1092,Tech,Payment,3,26,8,1
1093,HR,Hiring,1,10,10,1
1094,Tech,Hiring,2,9,3,0
1095,Finance,Campaign,2,4,3,0
1096,Finance,Campaign,1,23,5,1
1097,Finance,Campaign,2,15,16,1
1098,Finance,Support,2,13,17,1
1099,Finance,Hiring,1,25,6,0
1100,Tech,Development,1,2,20,1
1101,Tech,Payment,3,2,20,0
1102,Finance,Support,3,16,16,1
1103,HR,Development,1,9,2,0
1104,Marketing,Hiring,4,28,20,0
1105,Finance,Campaign,2,13,15,1
1106,HR,Hiring,3,3,18,0
1107,Marketing,Payment,2,9,1,0
1108,Finance,Support,5,13,19,1
1109,Finance,Support,1,21,12,0
1110,Tech,Payment,4,22,8,1
1111,Marketing,Development,5,2,6,0
1112,Marketing,Development,5,8,12,0
1113,HR,Support,5,27,7,0
1114,Tech,Support,1,9,18,0
1115,Tech,Campaign,3,16,14,1
1116,Tech,Development,1,2,8,1
1117,Tech,Payment,3,6,20,1
1118,Marketing,Development,5,22,14,0
1119,Marketing,Campaign,5,8,5,0
1120,Finance,Support,4,26,9,1
1121,Finance,Support,3,28,8,1
1122,Tech,Campaign,5,5,2,1
1123,Tech,Payment,2,9,16,1
1124,Tech,Support,4,1,13,0
1125,Finance,Hiring,1,9,7,1
1126,HR,Support,4,10,16,0
1127,HR,Hiring,2,23,7,1
1128,Finance,Campaign,3,4,14,0
1129,Finance,Campaign,1,3,14,1
1130,Finance,Support,1,30,12,1
1131,Finance,Development,3,10,1,0
1132,Finance,Hiring,4,15,1,0
1133,Finance,Payment,5,11,12,1
1134,Tech,Support,4,14,20,0
1135,Tech,Payment,2,6,15,1
1136,Tech,Support,5,12,4,0
1137,Tech,Development,4,13,7,1
1138,Finance,Development,3,17,16,1
1139,HR,Development,2,16,3,1
1140,Marketing,Development,2,3,7,1
1141,Finance,Campaign,2,2,6,1
1142,Marketing,Campaign,5,11,16,1
1143,HR,Hiring,1,29,8,1
1144,Tech,Payment,5,9,6,1
1145,HR,Support,4,3,10,0
1146,Finance,Support,1,29,16,0
1147,Tech,Campaign,4,18,11,0
1148,Finance,Support,1,20,13,1
1149,Tech,Campaign,5,15,6,1
1150,Marketing,Hiring,2,14,1,1
1151,Marketing,Payment,3,2,19,0
1152,Marketing,Hiring,2,17,12,0
1153,HR,Development,5,22,6,0
1154,Finance,Development,1,26,18,0
1155,HR,Development,2,8,13,0
1156,Marketing,Hiring,5,10,7,1
1157,Finance,Support,4,26,13,0
1158,Marketing,Payment,3,18,8,1
1159,HR,Development,2,30,17,1
1160,HR,Development,1,25,9,1
1161,HR,Development,4,29,20,0
1162,Marketing,Payment,5,19,13,0
1163,Finance,Development,3,8,2,1
1164,Finance,Payment,1,28,4,0
1165,Marketing,Development,5,8,2,0
1166,Finance,Hiring,5,3,4,1
1167,Marketing,Hiring,2,3,18,1
1168,Finance,Payment,2,12,5,1
1169,Tech,Hiring,1,22,19,1
1170,Tech,Payment,5,17,10,1
1171,HR,Hiring,2,4,18,0
1172,Tech,Hiring,3,17,10,1
1173,Tech,Payment,3,14,5,0
1174,Tech,Support,5,19,17,0
1175,Marketing,Hiring,2,9,13,1
1176,Tech,Development,1,30,17,1
1177,Tech,Support,1,30,9,0
1178,HR,Payment,1,21,12,1
1179,Tech,Support,3,12,14,0
1180,Tech,Campaign,2,5,14,1
1181,Finance,Campaign,2,11,8,1
1182,HR,Hiring,3,20,5,0
1183,HR,Hiring,1,3,19,0
1184,HR,Development,1,21,14,1
1185,HR,Support,5,15,9,1
1186,HR,Campaign,4,14,7,1
1187,HR,Hiring,2,11,8,0
1188,Marketing,Support,2,20,14,1
1189,Tech,Hiring,2,8,14,1
1190,HR,Hiring,4,4,11,1
1191,Tech,Campaign,5,27,14,1
1192,Tech,Campaign,4,12,8,0
1193,Marketing,Hiring,1,8,3,0
1194,HR,Payment,1,6,18,0
1195,Finance,Hiring,2,15,3,1
1196,Marketing,Hiring,3,30,13,1
1197,Finance,Development,2,12,12,1
1198,Tech,Development,3,16,15,0
1199,Tech,Development,4,16,18,0
1200,Marketing,Payment,1,27,5,0
1201,Marketing,Payment,3,21,7,0
1202,Finance,Hiring,4,20,11,1
1203,HR,Development,1,20,11,0
1204,Finance,Payment,3,28,15,0
1205,Marketing,Campaign,2,4,10,1
1206,Finance,Hiring,2,11,15,0
1207,Marketing,Support,2,13,13,1
1208,Finance,Hiring,4,29,14,1
1209,Marketing,Support,2,9,17,1
1210,Marketing,Development,5,4,13,1
1211,Marketing,Support,1,12,10,1
1212,HR,Development,4,9,1,0
1213,Finance,Campaign,2,13,1,0
1214,Finance,Support,1,16,15,1
1215,Finance,Hiring,3,26,16,0
1216,Marketing,Development,2,6,12,1
1217,Finance,Hiring,1,10,6,0
1218,Finance,Payment,5,13,6,0
1219,Marketing,Development,3,7,12,0
1220,Tech,Support,5,28,15,0
1221,Marketing,Development,1,26,4,0
1222,Finance,Hiring,5,19,4,0
1223,Marketing,Campaign,1,24,2,0
1224,Tech,Development,1,19,12,1
1225,Marketing,Support,5,17,7,1
1226,Finance,Payment,1,13,20,1
1227,Tech,Campaign,2,13,9,0
1228,HR,Payment,1,26,9,0
1229,Finance,Development,4,28,8,1
1230,Tech,Hiring,1,21,14,1
1231,Tech,Hiring,4,2,1,0
1232,HR,Support,1,10,12,1
1233,Marketing,Hiring,1,30,2,1
1234,Marketing,Campaign,5,22,13,1
1235,Finance,Hiring,2,13,4,1
1236,HR,Support,2,26,20,0
1237,Marketing,Development,3,9,18,1
1238,HR,Development,5,1,19,1
1239,Marketing,Hiring,5,14,16,1
1240,Tech,Payment,2,29,14,1
1241,Marketing,Development,5,16,8,0
1242,HR,Hiring,2,20,12,1
1243,Tech,Support,5,15,9,1
1244,Tech,Hiring,1,1,6,1
1245,Tech,Development,2,17,18,1
1246,HR,Support,2,24,2,1
1247,Finance,Hiring,4,30,8,0
1248,Finance,Campaign,5,30,14,1
1249,Finance,Support,5,13,6,1
1250,HR,Campaign,2,30,10,0
1251,Tech,Payment,1,27,8,1
1252,Finance,Support,1,15,17,0
1253,HR,Campaign,1,16,12,1
1254,Finance,Development,5,16,17,0
1255,Marketing,Development,4,2,13,0
1256,Finance,Payment,2,17,19,1
1257,Finance,Support,3,11,12,0
1258,Tech,Support,4,8,16,1
1259,HR,Support,3,20,5,0
1260,Tech,Payment,4,3,16,0
1261,Tech,Support,1,29,6,1
1262,Tech,Development,5,12,11,0
1263,Tech,Campaign,3,20,17,1
1264,Tech,Development,4,16,14,0
1265,Finance,Development,5,14,6,0
1266,Tech,Campaign,3,16,11,1
1267,Tech,Development,2,27,12,1
1268,HR,Payment,4,21,13,0
1269,Marketing,Campaign,2,17,4,1
1270,Finance,Development,1,30,7,1
1271,Finance,Hiring,2,11,2,0
1272,Finance,Development,2,17,6,0
1273,Tech,Payment,4,19,6,1
1274,Tech,Support,1,22,18,0
1275,Tech,Development,2,1,20,1
1276,HR,Support,5,30,8,1
1277,Marketing,Hiring,3,27,8,1
1278,Tech,Development,2,12,8,1
1279,Marketing,Campaign,1,15,8,1
1280,HR,Support,2,18,1,1
1281,Finance,Hiring,3,28,2,0
1282,Tech,Campaign,1,30,12,1
1283,Marketing,Campaign,4,23,15,0
1284,Marketing,Campaign,1,14,4,1
1285,Tech,Campaign,4,30,3,0
1286,Finance,Development,1,1,14,0
1287,Finance,Development,3,13,8,0
1288,Finance,Development,3,30,13,1
1289,HR,Hiring,1,15,19,0
1290,Marketing,Hiring,2,7,5,0
1291,Marketing,Hiring,3,15,13,1
1292,Marketing,Payment,4,20,20,0
1293,HR,Hiring,4,10,1,0
1294,Marketing,Development,5,14,16,1
1295,HR,Development,4,6,2,0
1296,Finance,Payment,5,14,7,0
1297,Tech,Payment,1,24,6,1
1298,Marketing,Hiring,1,25,5,0
1299,Marketing,Support,1,22,4,0
1300,Finance,Payment,2,12,2,0
1301,Tech,Campaign,2,11,10,0
1302,HR,Development,5,29,5,1
1303,Tech,Campaign,4,30,18,1
1304,Finance,Development,4,25,10,1
1305,Finance,Development,1,20,15,1
1306,Tech,Payment,3,22,9,0
1307,HR,Payment,2,24,11,1
1308,HR,Campaign,2,25,17,1
1309,Marketing,Development,1,19,9,0
1310,HR,Campaign,2,2,16,0
1311,Tech,Support,1,22,6,0
1312,Finance,Campaign,5,20,11,1
1313,Marketing,Hiring,4,1,17,0
1314,Marketing,Campaign,3,8,4,0
1315,Finance,Hiring,4,25,15,0
1316,HR,Hiring,4,14,1,1
1317,Finance,Hiring,5,9,20,1
1318,HR,Support,2,2,1,1
1319,Finance,Campaign,3,25,9,1
1320,Tech,Campaign,2,23,12,1
1321,HR,Support,4,5,4,1
1322,Tech,Development,1,23,13,1
1323,Marketing,Payment,4,29,7,0
1324,Finance,Campaign,2,25,8,0
1325,Marketing,Payment,4,8,13,0
1326,Marketing,Support,1,16,11,1
1327,Marketing,Development,5,22,9,1
1328,Marketing,Development,2,16,16,0
1329,Finance,Development,4,13,10,0
1330,Marketing,Support,2,20,11,1
1331,Finance,Hiring,5,29,12,1
1332,Finance,Hiring,4,15,14,1
1333,Tech,Payment,4,1,19,1
1334,HR,Hiring,2,22,12,1
1335,HR,Hiring,2,3,18,1
1336,Finance,Development,1,6,17,1
1337,Tech,Development,5,22,3,1
1338,Finance,Payment,1,14,1,0
1339,Finance,Campaign,4,4,19,1
1340,Finance,Payment,2,18,4,1
1341,Tech,Payment,4,15,16,1
1342,HR,Support,4,9,12,0
1343,Tech,Support,3,18,13,0
1344,Marketing,Payment,3,3,17,1
1345,Tech,Payment,4,10,8,0
1346,Tech,Payment,2,17,13,0
1347,Tech,Hiring,4,7,20,0
1348,Tech,Support,3,15,5,1
1349,HR,Payment,2,1,18,1
1350,Marketing,Development,4,27,15,1
1351,HR,Development,5,25,12,1
1352,HR,Hiring,5,27,17,1
1353,Tech,Hiring,4,11,15,1
1354,Finance,Campaign,2,17,2,1
1355,Finance,Campaign,4,5,6,0
1356,HR,Campaign,4,7,17,1
1357,HR,Hiring,3,19,16,1
1358,Tech,Hiring,5,25,17,1
1359,HR,Hiring,3,24,20,1
1360,Tech,Development,3,29,9,1
1361,Finance,Hiring,4,15,5,1
1362,Finance,Development,3,3,1,1
1363,Marketing,Campaign,5,15,6,1
1364,Finance,Campaign,3,5,14,0
1365,HR,Campaign,5,23,17,0
1366,Finance,Payment,3,12,19,1
1367,Tech,Payment,5,30,1,1
1368,Finance,Support,3,20,1,0
1369,Marketing,Support,3,5,13,1
1370,Finance,Support,2,3,14,1
1371,Tech,Payment,5,9,6,0
1372,Tech,Payment,5,26,6,1
1373,HR,Support,5,9,1,1
1374,Finance,Support,1,7,14,1
1375,Tech,Hiring,3,26,3,0
1376,Marketing,Support,5,2,10,0
1377,HR,Hiring,1,23,19,1
1378,Marketing,Development,2,23,19,0
1379,Finance,Payment,5,27,19,0
1380,Finance,Support,5,21,4,0
1381,Finance,Payment,1,16,20,1
1382,HR,Payment,3,9,19,0
1383,Tech,Payment,2,13,10,0
1384,HR,Development,5,28,2,0
1385,Marketing,Campaign,3,27,4,1
1386,HR,Support,2,19,6,0
1387,Marketing,Campaign,4,20,7,0
1388,HR,Campaign,4,17,16,1
1389,Tech,Campaign,2,6,7,0
1390,Marketing,Payment,1,4,18,0
1391,Finance,Hiring,2,1,20,0
1392,Finance,Payment,2,18,19,1
1393,HR,Payment,1,19,9,1
1394,Finance,Campaign,1,9,20,0
1395,Marketing,Payment,3,13,10,0
1396,Finance,Campaign,3,8,13,0
1397,Tech,Hiring,1,23,18,0
1398,Tech,Support,4,13,16,0
1399,HR,Campaign,4,15,17,0
1400,Marketing,Hiring,2,11,13,1
1401,Tech,Support,5,12,12,0
1402,Tech,Development,2,14,10,0
1403,Marketing,Campaign,2,4,1,0
1404,Finance,Campaign,5,1,8,1
1405,Finance,Development,1,24,18,0
1406,HR,Development,4,4,2,1
1407,Finance,Campaign,2,19,16,0
1408,Marketing,Development,5,9,12,0
1409,Tech,Payment,3,10,9,0
1410,Finance,Support,2,4,3,0
1411,HR,Support,4,20,4,0
1412,Finance,Support,1,30,2,0
1413,Marketing,Payment,2,9,8,1
1414,HR,Development,2,13,10,0
1415,Finance,Hiring,5,12,16,0
1416,HR,Development,3,11,11,0
1417,Marketing,Campaign,3,12,18,1
1418,Tech,Support,1,30,14,0
1419,Marketing,Development,4,18,8,1
1420,Marketing,Hiring,1,30,15,0
1421,Marketing,Campaign,2,12,17,0
1422,Marketing,Payment,2,16,18,1
1423,Tech,Payment,3,5,6,1
1424,Tech,Hiring,4,20,14,0
1425,HR,Campaign,5,25,3,1
1426,Finance,Support,4,12,7,1
1427,Tech,Development,2,21,15,0
1428,Tech,Campaign,5,25,16,0
1429,Finance,Payment,4,11,16,0
1430,Tech,Hiring,4,9,8,1
1431,Marketing,Hiring,5,30,7,0
1432,Marketing,Development,2,18,6,0
1433,Finance,Hiring,4,30,2,1
1434,HR,Hiring,5,25,13,1
1435,HR,Campaign,2,3,12,0
1436,Finance,Support,5,20,15,1
1437,Finance,Development,5,17,9,1
1438,Marketing,Campaign,4,14,2,1
1439,HR,Support,2,1,17,0
1440,Tech,Campaign,4,17,5,0
1441,Marketing,Campaign,1,25,11,0
1442,Finance,Hiring,1,27,19,1
1443,HR,Support,2,8,7,0
1444,Tech,Development,5,5,2,0
1445,Tech,Development,4,5,16,1
1446,Marketing,Support,4,9,12,1
1447,HR,Hiring,2,3,15,0
1448,HR,Payment,2,19,1,1
1449,Finance,Campaign,1,23,13,0
1450,HR,Hiring,3,9,6,0
1451,HR,Support,2,22,13,0
1452,Marketing,Campaign,3,30,18,1
1453,HR,Development,2,18,3,1
1454,Tech,Payment,5,16,1,0
1455,Marketing,Development,5,1,15,0
1456,Marketing,Support,1,2,13,0
1457,Finance,Campaign,1,14,5,0
1458,HR,Support,3,14,13,1
1459,Finance,Campaign,2,1,5,0
1460,Tech,Hiring,4,26,19,0
1461,Marketing,Payment,1,26,18,1
1462,Marketing,Hiring,4,25,10,0
1463,Marketing,Hiring,4,16,8,0
1464,Tech,Support,2,15,15,0
1465,Tech,Payment,3,26,20,0
1466,Finance,Campaign,2,15,4,0
1467,Finance,Campaign,1,12,2,1
1468,Finance,Development,4,16,6,1
1469,HR,Campaign,2,14,3,1
1470,Marketing,Support,2,29,7,1
1471,Marketing,Hiring,2,24,10,0
1472,Finance,Hiring,1,15,6,1
1473,Marketing,Hiring,3,23,16,1
1474,Finance,Payment,2,15,2,1
1475,HR,Campaign,1,19,17,1
1476,HR,Support,4,8,13,1
1477,Tech,Payment,5,2,1,1
1478,HR,Development,1,2,6,1
1479,Finance,Support,5,27,5,1
1480,HR,Support,2,10,13,0
1481,Tech,Support,2,3,18,1
1482,Marketing,Hiring,1,23,12,0
1483,Finance,Support,5,17,7,1
1484,Marketing,Campaign,2,8,15,1
1485,Tech,Support,4,28,3,1
1486,Tech,Hiring,3,23,16,0
1487,Tech,Support,3,4,1,0
1488,Marketing,Development,2,14,16,1
1489,Marketing,Development,5,21,12,0
1490,Marketing,Hiring,2,10,19,1
1491,Marketing,Campaign,5,29,8,0
1492,Tech,Campaign,4,1,12,0
1493,Tech,Payment,5,4,15,0
1494,Finance,Hiring,2,1,2,1
1495,Finance,Support,4,17,17,0
1496,Marketing,Hiring,1,26,7,0
1497,HR,Payment,3,17,13,1
1498,HR,Hiring,2,7,1,0
1499,Tech,Hiring,2,23,6,1
1500,Tech,Payment,2,20,13,1
1501,Tech,Campaign,4,15,11,0
1502,Finance,Support,1,13,10,1
1503,Finance,Payment,5,28,16,0
1504,Tech,Development,1,2,20,0
1505,Tech,Campaign,4,28,17,1
1506,Tech,Development,2,19,17,0
1507,HR,Campaign,3,24,4,0
1508,Finance,Support,2,13,5,1
1509,HR,Support,5,24,14,1
1510,HR,Hiring,3,11,20,0
1511,Tech,Development,2,27,10,1
1512,Tech,Campaign,3,22,14,1
1513,Marketing,Support,1,15,1,1
1514,Marketing,Payment,4,10,11,1
1515,HR,Support,2,9,18,0
1516,Finance,Payment,5,27,16,0
1517,Tech,Campaign,1,28,18,1
1518,Tech,Support,2,9,8,0
